Date,ADANIPORTS.NS,TECHM.NS,BRITANNIA.NS,TCS.NS,SUNPHARMA.NS,INFY.NS,HINDALCO.NS,DRREDDY.NS,HCLTECH.NS,HINDUNILVR.NS,TATASTEEL.NS,NTPC.NS,CIPLA.NS,ITC.NS,BPCL.NS,WIPRO.NS,JSWSTEEL.NS,GAIL.NS,DIVISLAB.NS,ULTRACEMCO.NS,NESTLEIND.NS,ASIANPAINT.NS,EICHERMOT.NS,IOC.NS,GRASIM.NS,BAJAJ-AUTO.NS,HDFC.NS,M&M.NS,UPL.NS,SHREECEM.NS,MARUTI.NS,TITAN.NS,BAJAJFINSV.NS,KOTAKBANK.NS,COALINDIA.NS,BHARTIARTL.NS,HEROMOTOCO.NS,LT.NS,ONGC.NS,SBIN.NS,RELIANCE.NS,SBILIFE.NS,HDFCLIFE.NS,BAJFINANCE.NS,AXISBANK.NS,HDFCBANK.NS,TATAMOTORS.NS,ICICIBANK.NS,POWERGRID.NS,INDUSINDBK.NS
15-01-2016,218.25,520.5499878,1429.569946,1130.550049,787.0999756,569.9500122,71.80000305,2935.899902,419.0249939,804.25,218.8439941,113.7080002,609.0999756,209.2669983,310.8500061,203.6629944,97.24500275,94.457901,1077.099976,2618.199951,5597.700195,879.25,1624.079956,106.6620026,542.7810059,2322.149902,1149.800049,588.5999756,260.2330017,9801.400391,4273.350098,335.8500061,1905.5,675.5999756,318.5499878,281.0539856,2427.75,738.5999756,146.3000031,184.3000031,536.6500244,,,597.5300293,374.25,521.0750122,341.2999878,204.0449982,139.1000061,921.5499878
18-01-2016,219.3000031,517.4000244,1382.650024,1138.819946,784.9500122,565.9500122,71.19999695,2874.899902,421.1749878,809.9500122,224.7510071,112.1669998,591.0499878,210.2669983,298.8670044,205.1809998,99.09500122,95.47039795,1067.400024,2641.100098,5436,850.2999878,1545.949951,104.2249985,542.3629761,2249.899902,1131.800049,582.8250122,258.6669922,9703.700195,4236.200195,334.25,1831.900024,667.4000244,310.8500061,275.6830139,2435.550049,722.3670044,142.9329987,181,508.4249878,,,550.3200073,373.2000122,512.9249878,340.2000122,202.8179932,138.1499939,899.0999756
19-01-2016,232.8500061,512.5,1366.5,1139.650024,793.9000244,569.8250122,71.84999847,2915.5,419.125,810.4500122,226.7510071,112.625,598.0499878,209.3670044,298.6000061,203.25,99.85500336,96.45469666,1070.699951,2638.699951,5428.799805,845.5499878,1582.380005,103.75,545.7249756,2266.300049,1153,576.25,261.2999878,9843,4198.149902,339.2000122,1848.800049,668.7000122,308.8500061,284.9110107,2482.800049,748.6329956,145.3329926,182.9499969,521.7999878,,,564.4899902,393,517.9000244,354.1499939,207.9550018,135.9499969,896.4500122
20-01-2016,219.3999939,507,1339.849976,1140.050049,792.5999756,560.625,67.59999847,2870.100098,420.9500122,795.0499878,221.0350037,110.1669998,593.1500244,205.9669952,295.1669922,203.4559937,102.3850021,95.25939941,1060.199951,2617.649902,5485.600098,840.3499756,1553.890015,100.8000031,538.5130005,2278.350098,1136.650024,575.375,248.9669952,9716.5,4058.949951,340.8500061,1852.25,662.6500244,298.1499939,284.2680054,2488.5,744.0670166,142.1999969,173.6499939,502.2749939,,,563.9400024,387.6000061,509.1499939,342.25,204,134.6499939,873.6500244
21-01-2016,221.3000031,507.3500061,1309.849976,1127.25,773.1500244,568.5250244,68.30000305,2757.100098,417.625,775.5999756,224.4649963,110.8330002,580.25,204.2669983,291.8500061,206.5500031,102.5350037,95.76570129,1057.949951,2695.050049,5429.850098,844.4500122,1555.219971,99.03749847,534.8109741,2272.949951,1131.099976,569.3499756,251.8000031,9525.299805,3891.699951,343.3999939,1846.75,660.8499756,288.2000122,283.9930115,2469.899902,735.1329956,138.1999969,175.6000061,492.1000061,,,574.2050171,409.1499939,511.5,328.5499878,205.727005,132.1999969,873.4000244
22-01-2016,221.75,514.25,1307.949951,1147.880005,789.2000122,568.125,72.34999847,2882.350098,419.625,771.5,236.0879974,115.125,581.9000244,205.8329926,294.4169922,206.2879944,106.8000031,103.2050018,1081.849976,2713.399902,5447.600098,869.9500122,1647.23999,101.5999985,534.0440063,2318.850098,1158.449951,599.4500122,266.1329956,9923.150391,4104.950195,347.6000061,1891.800049,683.0499878,299.4500122,274.2600098,2591.5,761.46698,144.1670074,184.6000061,502.0750122,,,582.0650024,424.1499939,515.1500244,339.5,211.5910034,133.1000061,898
25-01-2016,218.3999939,514.5499878,1301.300049,1152.319946,807.25,568.8250122,72,2903.25,419.3500061,783.2999878,242.8529968,114.9580002,580.5999756,206.2669983,292.6329956,205.1439972,110.7249985,100.3219986,1087.099976,2750.449951,5461.350098,878.5999756,1641.609985,98.875,533.6489868,2327.300049,1174.599976,589.1500244,267.7330017,10015,4081.350098,354.4500122,1924.449951,681,304.8999939,273.1579895,2525.199951,742.7670288,146.4329987,182.9499969,501.9750061,,,585.6300049,420.8500061,520.5750122,332.6000061,214.5910034,133,907.2000122
27-01-2016,215.3500061,503.0499878,1324.819946,1159.880005,821.1500244,569.25,71.05000305,2973,418,767.9000244,245.4250031,119.7919998,580.5,208.6329956,290.2000122,207.2059937,112.125,100.7720032,1144.199951,2751.550049,5487.700195,858.5499878,1623.209961,99.25,530.3959961,2302.850098,1169.949951,588.3499756,275.4330139,9965.150391,4111.950195,349.6499939,1892.550049,674.5999756,304.0499878,273.4339905,2482.449951,738.53302,145.6000061,184.3999939,499.6749878,,,593.6950073,415.3999939,517.8250122,337.0499878,215.727005,138.25,908.25
28-01-2016,210.8500061,500.0499878,1335.119995,1165.599976,834.1500244,564.7999878,69.69999695,3011.199951,422.25,791.75,242.1860046,120.2080002,577.7999878,212.3670044,289.6329956,205.2189941,109.2200012,101.5309982,1129.150024,2744.699951,5468.950195,858.9500122,1595.900024,99.63749695,518.2189941,2263.399902,1147.75,602.0750122,273.7669983,10116.7002,4103.299805,339,1874.150024,663.25,306.6000061,267.5570068,2439.600098,716.3330078,146.6000061,185.25,508.4500122,,,577.6049805,405.6499939,515.8499756,334.2000122,212,143.6999969,907.1500244
29-01-2016,212.25,501.3999939,1344.719971,1195.650024,872.9500122,582.4500122,70.5,3105.399902,432.875,816.9000244,237.897995,118.7080002,585.0999756,213.4669952,297.7170105,211.0500031,105.7050018,103.6689987,1140.949951,2840.100098,5488,869.9000244,1654.660034,100.5749969,525.7329712,2341.949951,1180,616.625,291.4330139,10549.7998,4095.850098,363.7000122,1861.650024,683.5999756,319.9500122,266.1799927,2565.649902,734.4329834,150.8329926,179.8999939,517.7000122,,,592.8400269,408.3999939,524.9249878,336.8999939,209.227005,147.8500061,928.7999878
01-02-2016,221.1000061,497.6000061,1400.25,1201.349976,872.2999878,586.6749878,71.09999847,3050.5,440.1499939,800.9500122,237.5169983,116.875,599.4500122,216.5,293.3829956,213.0559998,105.0550003,103.5419998,1141.949951,2819.300049,5448.950195,887.4000244,1707.390015,100.9380035,532.664978,2327.899902,1180.050049,613.1749878,292.1000061,10681.09961,3948.25,359.9500122,1863.550049,687.7000122,328.5499878,272.3320007,2535.600098,748.03302,150.0330048,172.75,515.1500244,,,600.3150024,399.2999878,529.875,338.5,197.4550018,146.75,927.0999756
